,Amount missing,Persentage missing
"SympChck,CSC_55gC",10,0.3082614056720099
"CBCL,CBCL_66",10,0.3082614056720099
"SDQ,SDQ_06",10,0.3082614056720099
"CBCL,CBCL_105",10,0.3082614056720099
"SDQ,SDQ_25",10,0.3082614056720099
"CBCL,CBCL_29",10,0.3082614056720099
"SympChck,CSC_42C",10,0.3082614056720099
"SWAN,SWAN_18",10,0.3082614056720099
"SympChck,CSC_38C",10,0.3082614056720099
"CBCL,CBCL_112",10,0.3082614056720099
"CBCL,CBCL_10",9,0.27743526510480887
"SRS,SRS_63",9,0.27743526510480887
"CBCL,CBCL_82",9,0.27743526510480887
"SWAN,SWAN_16",9,0.27743526510480887
"SWAN,SWAN_15",9,0.27743526510480887
"SympChck,CSC_17C",9,0.27743526510480887
"SympChck,CSC_20C",9,0.27743526510480887
"SympChck,CSC_53C",9,0.27743526510480887
"SympChck,CSC_50C",9,0.27743526510480887
"CBCL,CBCL_94",9,0.27743526510480887
"CBCL,CBCL_46",9,0.27743526510480887
"SympChck,CSC_41C",9,0.27743526510480887
"SympChck,CSC_33C",9,0.27743526510480887
"CBCL,CBCL_98",9,0.27743526510480887
"CBCL,CBCL_91",8,0.2466091245376079
"SWAN,SWAN_12",8,0.2466091245376079
"SDQ,SDQ_15",8,0.2466091245376079
"SWAN,SWAN_11",8,0.2466091245376079
"SCQ,SCQ_34",8,0.2466091245376079
"SympChck,CSC_36C",8,0.2466091245376079
"SympChck,CSC_52C",8,0.2466091245376079
"SympChck,CSC_43C",8,0.2466091245376079
"SRS,SRS_21",8,0.2466091245376079
"SympChck,CSC_37C",8,0.2466091245376079
"SympChck,CSC_35C",8,0.2466091245376079
"SympChck,CSC_39C",8,0.2466091245376079
"CBCL,CBCL_79",8,0.2466091245376079
"CBCL,CBCL_100",8,0.2466091245376079
"CBCL,CBCL_65",8,0.2466091245376079
"SCQ,SCQ_18",8,0.2466091245376079
"CBCL,CBCL_56C",8,0.2466091245376079
"SympChck,CSC_23C",8,0.2466091245376079
"SympChck,CSC_24C",8,0.2466091245376079
"CBCL,CBCL_48",7,0.21578298397040688
"SWAN,SWAN_14",7,0.21578298397040688
"CBCL,CBCL_25",7,0.21578298397040688
"CBCL,CBCL_60",7,0.21578298397040688
"SRS,SRS_64",7,0.21578298397040688
"SRS,SRS_51",7,0.21578298397040688
"SRS,SRS_44",7,0.21578298397040688
"CBCL,CBCL_103",7,0.21578298397040688
"SDQ,SDQ_16",7,0.21578298397040688
"SympChck,CSC_25C",7,0.21578298397040688
"SympChck,CSC_16C",7,0.21578298397040688
"SympChck,CSC_55eC",7,0.21578298397040688
"SympChck,CSC_44C",7,0.21578298397040688
"SympChck,CSC_27C",7,0.21578298397040688
"CBCL,CBCL_44",6,0.18495684340320592
"SCQ,SCQ_39",6,0.18495684340320592
"SWAN,SWAN_06",6,0.18495684340320592
"SWAN,SWAN_08",6,0.18495684340320592
"SWAN,SWAN_10",6,0.18495684340320592
"SympChck,CSC_22C",6,0.18495684340320592
"SWAN,SWAN_13",6,0.18495684340320592
"CBCL,CBCL_09",6,0.18495684340320592
"CBCL,CBCL_49",6,0.18495684340320592
"SympChck,CSC_30C",6,0.18495684340320592
"SRS,SRS_23",6,0.18495684340320592
"SRS,SRS_15",6,0.18495684340320592
"SDQ,SDQ_08",6,0.18495684340320592
"SRS,SRS_28",6,0.18495684340320592
"SRS,SRS_34",6,0.18495684340320592
"SRS,SRS_37",6,0.18495684340320592
"SRS,SRS_39",6,0.18495684340320592
"SRS,SRS_48",6,0.18495684340320592
"CBCL,CBCL_15",6,0.18495684340320592
"SRS,SRS_52",6,0.18495684340320592
"CBCL,CBCL_109",6,0.18495684340320592
"SympChck,CSC_55fC",6,0.18495684340320592
"CBCL,CBCL_101",6,0.18495684340320592
"SDQ,SDQ_17",6,0.18495684340320592
"SRS,SRS_54",6,0.18495684340320592
"CBCL,CBCL_90",6,0.18495684340320592
"CBCL,CBCL_95",6,0.18495684340320592
"CBCL,CBCL_96",6,0.18495684340320592
"CBCL,CBCL_73",6,0.18495684340320592
"SympChck,CSC_06C",6,0.18495684340320592
"CBCL,CBCL_80",6,0.18495684340320592
"ASSQ,ASSQ_12",6,0.18495684340320592
"CBCL,CBCL_77",6,0.18495684340320592
"CBCL,CBCL_83",6,0.18495684340320592
"CBCL,CBCL_56A",5,0.15413070283600494
"SRS,SRS_05",5,0.15413070283600494
"SCQ,SCQ_15",5,0.15413070283600494
"SRS,SRS_50",5,0.15413070283600494
"SRS,SRS_49",5,0.15413070283600494
"CBCL,CBCL_16",5,0.15413070283600494
"SympChck,CSC_10C",5,0.15413070283600494
