,Diag: Social Anxiety (Social Phobia),Diag: Enuresis,Diag: Generalized Anxiety Disorder,Diag: No Diagnosis Given,Diag: Autism Spectrum Disorder,Diag: Oppositional Defiant Disorder,Diag: ADHD-Combined Type
19,"[0.8324929971988795, 0.8713, 0.6585]","[0.8824713659983132, 0.8473, 0.8892]","[0.8919301097114993, 0.8504, 0.7722]","[0.850933908045977, 0.8619, 0.7276]","[0.9026223776223776, 0.8545, 0.8322]","[0.8893101761252448, 0.8265, 0.8236]","[0.8729686318972033, 0.8571, 0.7531]"
20,"[0.8444677871148459, 0.8713, 0.6895]","[0.8824713659983132, 0.8473, 0.8892]","[0.8920438845997563, 0.8504, 0.7704]","[0.8533653846153846, 0.8275, 0.7532]","[0.9037825810553084, 0.8181, 0.8584]","[0.8872920743639923, 0.8979, 0.7483]","[0.8744331065759636, 0.8367, 0.7716]"
21,"[0.8454715219421102, 0.8713, 0.6797]","[0.8824985717006285, 0.8473, 0.8908]","[0.8920438845997563, 0.8504, 0.7704]","[0.855050839964633, 0.8275, 0.7596]","[0.9060553083280356, 0.8727, 0.8164]","[0.8880696114062063, 0.8979, 0.7466]","[0.8753884269757285, 0.8163, 0.7922]"
22,"[0.8599439775910365, 0.9142, 0.6961]","[0.8824985717006285, 0.8473, 0.8908]","[0.8922389272653393, 0.8317, 0.7896]","[0.8456564986737402, 0.8275, 0.7372]","[0.9065082644628099, 0.8636, 0.8322]","[0.8880696114062063, 0.8979, 0.7466]","[0.876501217771059, 0.8418, 0.7757]"
23,"[0.859967320261438, 0.9142, 0.6977]","[0.8824985717006285, 0.8473, 0.8908]","[0.8921414059325478, 0.8411, 0.7826]","[0.8461814765694076, 0.8275, 0.7372]","[0.9105530832803559, 0.8181, 0.8776]","[0.8880696114062063, 0.8979, 0.7466]","[0.8775300243554212, 0.852, 0.7675]"
24,"[0.8605275443510738, 0.9142, 0.6634]","[0.8824985717006285, 0.8473, 0.8908]","[0.8914099959366111, 0.8317, 0.7826]","[0.8480050839964633, 0.8275, 0.7404]","[0.9122854418308963, 0.8545, 0.8444]","[0.888978194017333, 0.8367, 0.8082]","[0.878716301335349, 0.8673, 0.7654]"
25,"[0.8583333333333334, 0.8142, 0.7386]","[0.8824985717006285, 0.8473, 0.8908]","[0.8908248679398619, 0.8037, 0.8104]","[0.8474801061007957, 0.8275, 0.7404]","[0.9131595677050223, 0.8545, 0.8479]","[0.889240285155158, 0.8367, 0.8082]","[0.8769001427731586, 0.8622, 0.7737]"
26,"[0.8583333333333334, 0.8142, 0.7386]","[0.8824985717006285, 0.8473, 0.8908]","[0.8911336854937018, 0.8317, 0.7896]","[0.8420645446507515, 0.8275, 0.7468]","[0.9137317228226319, 0.8545, 0.8584]","[0.8880958205199889, 0.8367, 0.8151]","[0.8771940875115479, 0.8673, 0.7695]"
27,"[0.8623949579831933, 0.9284, 0.6552]","[0.8824985717006285, 0.8473, 0.8908]","[0.8911336854937018, 0.8317, 0.7896]","[0.8421750663129973, 0.8275, 0.7452]","[0.914446916719644, 0.8545, 0.8549]","[0.8897120492032429, 0.8367, 0.8099]","[0.8771206013269506, 0.8622, 0.7778]"
28,"[0.8671101774042951, 0.9142, 0.6912]","[0.8824985717006285, 0.8473, 0.8908]","[0.891718813490451, 0.8317, 0.7913]","[0.8431697612732095, 0.8275, 0.75]","[0.9143515575333757, 0.8545, 0.8514]","[0.8899042493709812, 0.8367, 0.8082]","[0.8783173763332495, 0.8418, 0.7963]"
29,"[0.869187675070028, 0.9284, 0.6814]","[0.8824985717006285, 0.8473, 0.8908]","[0.8919626168224299, 0.8317, 0.793]","[0.844302608311229, 0.8102, 0.7596]","[0.9144787031150668, 0.8545, 0.8496]","[0.8849507268660889, 0.8061, 0.8168]","[0.879482657260435, 0.8367, 0.7983]"
30,"[0.8661764705882352, 0.8999, 0.6863]","[0.8901161683488859, 0.8643, 0.8844]","[0.8919951239333604, 0.8224, 0.8017]","[0.8464854111405835, 0.8102, 0.7628]","[0.9148601398601399, 0.8636, 0.8461]","[0.8849681996086105, 0.8163, 0.8065]","[0.8791677164693038, 0.852, 0.7963]"
31,"[0.8663865546218488, 0.8713, 0.6944]","[0.8824985717006285, 0.8473, 0.8908]","[0.8919951239333604, 0.8224, 0.8017]","[0.8491103006189213, 0.793, 0.7692]","[0.9158773045136681, 0.8636, 0.8514]","[0.8849681996086105, 0.8163, 0.8065]","[0.879724111866969, 0.8571, 0.7839]"
32,"[0.8681139122315593, 0.8856, 0.6895]","[0.8824985717006285, 0.8473, 0.8908]","[0.8922064201544088, 0.8317, 0.7948]","[0.8517351900972591, 0.793, 0.782]","[0.9168626827717737, 0.8272, 0.8811]","[0.8860689823874757, 0.8265, 0.7962]","[0.8797346098933401, 0.8571, 0.7737]"
33,"[0.8660130718954249, 0.8856, 0.6895]","[0.8824985717006285, 0.8473, 0.8908]","[0.8923039414872003, 0.8317, 0.7948]","[0.8515970380194519, 0.793, 0.782]","[0.9171328671328671, 0.8272, 0.8811]","[0.8861214006150405, 0.8775, 0.7586]","[0.8805219618711683, 0.8163, 0.8107]"
34,"[0.8660364145658263, 0.8856, 0.6895]","[0.8824985717006285, 0.8473, 0.8908]","[0.8917513206013815, 0.813, 0.8087]","[0.8507957559681698, 0.8102, 0.7772]","[0.9174666242848061, 0.8636, 0.8549]","[0.885990355046128, 0.8265, 0.8082]","[0.8810468631897204, 0.8928, 0.7428]"
35,"[0.8702147525676938, 0.857, 0.7222]","[0.8824985717006285, 0.8473, 0.8908]","[0.8920763917106868, 0.813, 0.8122]","[0.8490826702033598, 0.8102, 0.7692]","[0.9181977113795295, 0.8272, 0.8898]","[0.8862611825552138, 0.8265, 0.8065]","[0.8807319223985891, 0.8775, 0.7531]"
36,"[0.8718253968253968, 0.8713, 0.7206]","[0.8824985717006285, 0.8473, 0.8908]","[0.8921251523770825, 0.8224, 0.793]","[0.8492208222811671, 0.8102, 0.7644]","[0.9190718372536555, 0.8272, 0.8933]","[0.8865931646631255, 0.8265, 0.8065]","[0.8801335348954397, 0.8775, 0.7572]"
37,"[0.8715219421101774, 0.8713, 0.7206]","[0.8824985717006285, 0.8473, 0.8908]","[0.8921414059325478, 0.8224, 0.793]","[0.8501878868258178, 0.8102, 0.766]","[0.9182930705657979, 0.8272, 0.8986]","[0.8865931646631255, 0.8265, 0.8065]","[0.8809103888468968, 0.8826, 0.7572]"
38,"[0.8724089635854342, 0.857, 0.7386]","[0.8824985717006285, 0.8473, 0.8908]","[0.8924177163754571, 0.8224, 0.7983]","[0.8498563218390804, 0.8102, 0.7724]","[0.9187380801017164, 0.8272, 0.8986]","[0.8865931646631255, 0.8265, 0.8065]","[0.88094188292601, 0.8724, 0.7675]"
39,"[0.8721755368814192, 0.8713, 0.714]","[0.8824985717006285, 0.8473, 0.8908]","[0.8924014628199919, 0.8224, 0.7983]","[0.8496905393457118, 0.8102, 0.7708]","[0.9187380801017164, 0.8272, 0.8986]","[0.8866630556332122, 0.8775, 0.7517]","[0.8813513059544805, 0.8826, 0.7572]"
40,"[0.8699346405228758, 0.8285, 0.7418]","[0.8824985717006285, 0.8473, 0.8908]","[0.892157659488013, 0.8224, 0.8]","[0.8494418656056587, 0.8102, 0.7708]","[0.9195327399872855, 0.8545, 0.8706]","[0.885833100363433, 0.8265, 0.7979]","[0.8811413454270597, 0.8622, 0.7737]"
41,"[0.8706349206349207, 0.8713, 0.7124]","[0.8824713659983132, 0.8473, 0.8892]","[0.892157659488013, 0.8224, 0.8]","[0.852343059239611, 0.8102, 0.7756]","[0.9200254291163382, 0.8454, 0.8776]","[0.8858156276209113, 0.8265, 0.7979]","[0.8811098513479465, 0.8775, 0.7654]"
42,"[0.8718020541549953, 0.857, 0.7271]","[0.8824713659983132, 0.8473, 0.8892]","[0.8920763917106866, 0.8224, 0.8]","[0.8542219274977896, 0.8102, 0.7708]","[0.9201048951048951, 0.8272, 0.8986]","[0.885999091417389, 0.8265, 0.7979]","[0.8813618039808515, 0.8826, 0.7613]"
