,Diag: ADHD-Inattentive Type,Diag: Social Anxiety (Social Phobia),Diag: Enuresis,Diag: Generalized Anxiety Disorder,Diag: No Diagnosis Given,Diag: Specific Learning Disorder with Impairment in Reading,Diag: Specific Phobia,Diag: Autism Spectrum Disorder,Diag: Oppositional Defiant Disorder,Diag: Language Disorder,Diag: ADHD-Combined Type,Diag: Specific Learning Disorder with Impairment in Mathematics
37,"[0.7991074205386577, 0.6667, 0.7625]","[0.8630285714285715, 0.8599, 0.7326]","[0.8710019449997299, 0.8553, 0.8475]","[0.8794944397867662, 0.7727, 0.7929]","[0.7853611756442812, 0.7108, 0.7657]","[0.7081783120051243, 0.6398, 0.6527]","[0.7629868531193067, 0.6956, 0.7339]","[0.899007989036488, 0.7707, 0.8777]","[0.865265234620814, 0.7801, 0.7878]","[0.7876504712297268, 0.7591, 0.6873]","[0.8659776294648374, 0.8781, 0.7141]","[0.7618889002767245, 0.6818, 0.7069]"
38,"[0.7999574962161267, 0.634, 0.7711]","[0.8604457142857143, 0.8299, 0.7474]","[0.8710019449997299, 0.8553, 0.8475]","[0.8789803375674264, 0.7662, 0.799]","[0.7853881895294181, 0.6987, 0.7702]","[0.7080079588972021, 0.6344, 0.6591]","[0.762728347038259, 0.6847, 0.7135]","[0.8990157756217588, 0.7643, 0.8802]","[0.865265234620814, 0.7801, 0.7878]","[0.787502395345191, 0.7445, 0.7041]","[0.8662299674535492, 0.8745, 0.727]","[0.7635031259608486, 0.6818, 0.7012]"
39,"[0.799926395886463, 0.75, 0.6824]","[0.8612114285714285, 0.8599, 0.7314]","[0.8710019449997299, 0.8553, 0.8475]","[0.8789645190376006, 0.7662, 0.799]","[0.7848749257118157, 0.6987, 0.7646]","[0.7076502173705658, 0.6344, 0.6667]","[0.7634176965877197, 0.6847, 0.7214]","[0.8990157756217588, 0.7643, 0.8802]","[0.8652737384560435, 0.8439, 0.7314]","[0.788173091998676, 0.7153, 0.7327]","[0.8664514069130309, 0.8817, 0.7141]","[0.7633878241262683, 0.6818, 0.7001]"
40,"[0.7997190603553732, 0.75, 0.6824]","[0.8603085714285714, 0.8399, 0.752]","[0.8710019449997299, 0.8553, 0.8475]","[0.8788063337393422, 0.7662, 0.799]","[0.7856043006105139, 0.6987, 0.7646]","[0.706750752960737, 0.6344, 0.6629]","[0.7621005465557142, 0.6847, 0.7123]","[0.9005030134084999, 0.8152, 0.8435]","[0.8660220759562564, 0.7801, 0.7746]","[0.788164381652527, 0.7153, 0.7327]","[0.8656531949079224, 0.8638, 0.7371]","[0.7643871066926309, 0.6818, 0.7125]"
41,"[0.7981899608135847, 0.7138, 0.7253]","[0.8601371428571429, 0.8599, 0.7314]","[0.8710019449997299, 0.8553, 0.8475]","[0.8787984244744294, 0.7662, 0.799]","[0.785050515965206, 0.6867, 0.7769]","[0.707875083473023, 0.5968, 0.7034]","[0.7632576690137377, 0.6956, 0.718]","[0.9008611963309611, 0.8089, 0.8521]","[0.8660220759562564, 0.7801, 0.7746]","[0.788164381652527, 0.7153, 0.7327]","[0.8650506735879372, 0.8674, 0.7256]","[0.7654248232038536, 0.6704, 0.7193]"
42,"[0.7977234558686321, 0.6485, 0.7596]","[0.8624114285714286, 0.8699, 0.7394]","[0.8710019449997299, 0.8553, 0.8475]","[0.8793678915481595, 0.7662, 0.7941]","[0.7838754119617484, 0.6867, 0.7691]","[0.7082566744347684, 0.586, 0.7085]","[0.7625560096508938, 0.6847, 0.7191]","[0.9001136841449551, 0.7707, 0.8802]","[0.865834991581203, 0.7801, 0.7746]","[0.788164381652527, 0.7153, 0.7327]","[0.8650970213817821, 0.8674, 0.7227]","[0.7632853336066414, 0.6818, 0.7091]"
43,"[0.7977079057038003, 0.6485, 0.7596]","[0.86128, 0.7999, 0.7771]","[0.8710019449997299, 0.8553, 0.8475]","[0.8793599822832466, 0.7662, 0.7941]","[0.7838483980766114, 0.6867, 0.7691]","[0.7098579936492362, 0.5914, 0.7072]","[0.7633807671475701, 0.6956, 0.7146]","[0.9001136841449551, 0.7707, 0.8802]","[0.8657839685698251, 0.8368, 0.7326]","[0.788164381652527, 0.7153, 0.7327]","[0.8645923454043586, 0.8709, 0.7213]","[0.7625294660243928, 0.6818, 0.7012]"
44,"[0.7984854139453879, 0.6449, 0.7711]","[0.8613028571428571, 0.7999, 0.7771]","[0.8710019449997299, 0.8553, 0.8475]","[0.8793837100779854, 0.7662, 0.7941]","[0.7832405856610298, 0.5783, 0.8217]","[0.7087438843234256, 0.5914, 0.7047]","[0.7631961199468216, 0.6956, 0.7191]","[0.8993350256178656, 0.7707, 0.868]","[0.8658860145925812, 0.8368, 0.7326]","[0.788164381652527, 0.7153, 0.7327]","[0.8649991760392205, 0.8674, 0.7313]","[0.7651173516449729, 0.6704, 0.7125]"
45,"[0.7983039953556841, 0.7862, 0.6481]","[0.8606057142857143, 0.8199, 0.76]","[0.8710019449997299, 0.8553, 0.8475]","[0.8793837100779853, 0.7662, 0.7929]","[0.7811470095629153, 0.6747, 0.7791]","[0.7079398176540332, 0.5645, 0.711]","[0.7632576690137377, 0.6956, 0.7191]","[0.8993350256178656, 0.7707, 0.868]","[0.8656394033709203, 0.8368, 0.7326]","[0.7875459470759368, 0.708, 0.7327]","[0.8639074280064267, 0.8028, 0.7701]","[0.761350825048683, 0.6818, 0.7069]"
46,"[0.7995583753187785, 0.6739, 0.7539]","[0.8595428571428572, 0.8899, 0.7029]","[0.8710019449997299, 0.8553, 0.8475]","[0.8799927234762801, 0.7662, 0.7966]","[0.7825787454751743, 0.6747, 0.7791]","[0.7091833953418647, 0.5699, 0.7186]","[0.7628022059185583, 0.6847, 0.7214]","[0.8992026536682602, 0.7707, 0.868]","[0.8660220759562562, 0.8439, 0.7386]","[0.7863090779227566, 0.7518, 0.7064]","[0.8623934000741565, 0.81, 0.7557]","[0.7638234088346827, 0.6818, 0.7046]"
47,"[0.7999678629926811, 0.7355, 0.7339]","[0.85888, 0.8299, 0.7646]","[0.8710019449997299, 0.8553, 0.8475]","[0.8800401790657576, 0.7662, 0.7978]","[0.7829164190393864, 0.6747, 0.7747]","[0.7073572100249397, 0.5806, 0.7085]","[0.7623590526367621, 0.6847, 0.718]","[0.8989690561101336, 0.7707, 0.868]","[0.8659540452744188, 0.8368, 0.7386]","[0.7863439193073533, 0.7591, 0.6897]","[0.8623264532608248, 0.8064, 0.7687]","[0.763695295685149, 0.6818, 0.7035]"
48,"[0.7999004789450768, 0.8007, 0.6466]","[0.85888, 0.8299, 0.7646]","[0.8710019449997299, 0.8553, 0.8475]","[0.8800718161254094, 0.7662, 0.7978]","[0.7836728078232211, 0.6626, 0.778]","[0.7078716764108643, 0.6236, 0.6755]","[0.7629006844256241, 0.6847, 0.7214]","[0.8985641536760469, 0.7643, 0.868]","[0.8659540452744188, 0.8368, 0.7386]","[0.7863700503458008, 0.7591, 0.6897]","[0.862413999093643, 0.7993, 0.7687]","[0.7633365788664548, 0.6818, 0.7091]"
49,"[0.8003929008314157, 0.6993, 0.7453]","[0.85912, 0.8399, 0.7634]","[0.8710019449997299, 0.8553, 0.8475]","[0.8800559975955835, 0.7662, 0.7978]","[0.7834566967421255, 0.6626, 0.7803]","[0.7073197323411968, 0.5215, 0.7643]","[0.7628760647988577, 0.6847, 0.7214]","[0.8985797268465887, 0.7643, 0.868]","[0.8659540452744188, 0.8368, 0.7386]","[0.7863613399996515, 0.7591, 0.6897]","[0.861626086598278, 0.8136, 0.75]","[0.7616454852926106, 0.6818, 0.7069]"
50,"[0.7998693786154133, 0.7609, 0.6738]","[0.8578285714285714, 0.74, 0.8034]","[0.8712113026095414, 0.8553, 0.8307]","[0.8799689956815413, 0.8636, 0.7162]","[0.7841185369279811, 0.6747, 0.7735]","[0.7076536244327241, 0.5215, 0.7643]","[0.7629499236791569, 0.6956, 0.7135]","[0.8990313487923005, 0.7643, 0.868]","[0.8658605030868922, 0.8439, 0.7398]","[0.7852812570771562, 0.7737, 0.6623]","[0.8602305030280559, 0.8136, 0.7428]","[0.762362918929999, 0.6704, 0.7103]"
51,"[0.7998693786154133, 0.7609, 0.6738]","[0.8570857142857142, 0.8599, 0.7383]","[0.8710019449997299, 0.8553, 0.8475]","[0.8799689956815413, 0.8636, 0.7162]","[0.7836457939380842, 0.6626, 0.7758]","[0.7063248701909317, 0.629, 0.6743]","[0.7627652764784085, 0.6956, 0.7191]","[0.8990235622070296, 0.7643, 0.868]","[0.8658519992516625, 0.8439, 0.7398]","[0.7852725467310071, 0.7299, 0.7064]","[0.8601069089111357, 0.8136, 0.7442]","[0.762606333914113, 0.6818, 0.7001]"
52,"[0.800424001161079, 0.7536, 0.6752]","[0.8580457142857143, 0.75, 0.7829]","[0.8710019449997299, 0.8553, 0.8475]","[0.8799689956815413, 0.8636, 0.7162]","[0.7842400994110973, 0.6747, 0.7724]","[0.7081442413835397, 0.5215, 0.7604]","[0.7644394110985276, 0.7608, 0.6183]","[0.8993895317147619, 0.7707, 0.8741]","[0.8658519992516625, 0.773, 0.7818]","[0.7853944915770954, 0.7153, 0.7124]","[0.8602562518024143, 0.8172, 0.7457]","[0.7662703699907759, 0.6704, 0.7227]"
