,Diag: Enuresis,Diag: Oppositional Defiant Disorder,Diag: Generalized Anxiety Disorder,Diag: Autism Spectrum Disorder,Diag: No Diagnosis Given,Diag: ADHD-Combined Type,Diag: Social Anxiety (Social Phobia)
100,0.8826890116168348,0.8714530332681016,0.8757415684681024,0.8993324856961221,0.8450209991158267,0.8459519610313261,0.8247782446311858
99,0.8826890116168348,0.8714530332681016,0.8742787484762292,0.8993324856961221,0.8450762599469496,0.8461304274796337,0.8247782446311858
98,0.8826890116168348,0.8714530332681016,0.8748151158065828,0.8993324856961221,0.8446341732979664,0.8461304274796339,0.8247782446311858
97,0.8826890116168348,0.8714530332681016,0.8748638764729784,0.8993165924984107,0.8446894341290893,0.8461199294532628,0.8247782446311858
96,0.8826890116168348,0.8714530332681016,0.8747175944737912,0.8993324856961221,0.8446894341290893,0.8461199294532628,0.8247549019607843
95,0.8826890116168348,0.8714530332681016,0.8746200731409995,0.8993324856961221,0.8446618037135278,0.8461199294532628,0.8247782446311858
94,0.867344995511059,0.8714530332681016,0.87496139780577,0.8993324856961221,0.8446894341290893,0.8461199294532628,0.8248015873015873
93,0.8826890116168348,0.8714530332681016,0.8748963835839091,0.8993324856961221,0.8445789124668435,0.8461199294532628,0.8247782446311858
92,0.8826890116168348,0.8714530332681016,0.8760503860219423,0.8993165924984107,0.8437499999999999,0.8461199294532628,0.8247549019607843
91,0.8826890116168348,0.8714530332681016,0.8746688338073954,0.8993324856961221,0.8429487179487178,0.8461199294532628,0.8247782446311858
90,0.8826890116168348,0.8714530332681016,0.8748151158065828,0.8993324856961221,0.8431145004420866,0.8461199294532628,0.8247782446311858
89,0.8826890116168348,0.8714530332681016,0.8754490044697277,0.8993324856961221,0.8431421308576481,0.8461199294532628,0.8247782446311858
88,0.8826890116168348,0.8714530332681016,0.8744900446972776,0.8993324856961221,0.8430039787798409,0.8461199294532628,0.8247549019607843
87,0.8826890116168348,0.8714530332681016,0.8752052011377489,0.8993165924984107,0.8419540229885057,0.8461199294532628,0.8247782446311858
86,0.8826890116168348,0.8714530332681016,0.8748151158065827,0.8993324856961221,0.8417882404951371,0.8461199294532628,0.8247782446311858
