,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__class_weight,param_svc__degree,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,mean_test_score,std_test_score,rank_test_score
0,2.766682505607605,0.0059703309473965824,0.595150868097941,0.006245501185100693,0.6767610146802361,balanced,5.609315408675441,0.21847073384051252,rbf,"{'svc__C': 0.6767610146802361, 'svc__class_weight': 'balanced', 'svc__degree': 5.609315408675441, 'svc__gamma': 0.21847073384051252, 'svc__kernel': 'rbf'}",0.567092939481268,0.6189661383285302,0.6408051152737751,0.5990634005763689,0.5610877561744614,0.6147940751445087,0.6003015708298187,0.028404827627224467,86
1,2.789475917816162,0.06644094126732374,0.3717154264450073,0.02088980141317086,81.13178728440361,balanced,5.032924013111806,0.07838456815646136,poly,"{'svc__C': 81.13178728440361, 'svc__class_weight': 'balanced', 'svc__degree': 5.032924013111806, 'svc__gamma': 0.07838456815646136, 'svc__kernel': 'poly'}",0.7029899135446686,0.8121397694524496,0.8286203170028819,0.8596902017291066,0.8100367840252233,0.8048229768786127,0.8030499937721571,0.048319349077631114,17
2,2.6383976538976035,0.035081660354236356,0.28927918275197345,0.03949189970658364,690.4046008271453,balanced,3.179009062034597,0.013084300842907143,poly,"{'svc__C': 690.4046008271453, 'svc__class_weight': 'balanced', 'svc__degree': 3.179009062034597, 'svc__gamma': 0.013084300842907143, 'svc__kernel': 'poly'}",0.7045208933717579,0.8030439481268012,0.8424891930835735,0.8476224783861672,0.7994394815204063,0.8033778901734104,0.8000823141103529,0.0469227042922241,28
3,2.6963451703389487,0.045648152793131176,0.38121501604715985,0.012055070647883056,10.307037628041007,balanced,6.149225172314578,0.05079139889681292,poly,"{'svc__C': 10.307037628041007, 'svc__class_weight': 'balanced', 'svc__degree': 6.149225172314578, 'svc__gamma': 0.05079139889681292, 'svc__kernel': 'poly'}",0.6150036023054755,0.7127161383285303,0.7555835734870316,0.7374819884726225,0.7410229462252583,0.6791004335260116,0.706818113724155,0.047821325165930906,63
4,2.60432231426239,0.05306394246780632,0.32866549491882324,0.014958597457963782,12.191599203130835,,5.33202047718689,0.5011347281381276,poly,"{'svc__C': 12.191599203130835, 'svc__class_weight': None, 'svc__degree': 5.33202047718689, 'svc__gamma': 0.5011347281381276, 'svc__kernel': 'poly'}",0.7029899135446686,0.8121397694524496,0.8286203170028819,0.8596902017291066,0.8099492030127868,0.8048229768786127,0.803035396936751,0.048317249410219004,23
5,2.419164299964905,0.0983697823585189,0.5818422238032023,0.008823104293974716,2.9763497610796623,,4.23605749280134,2.775619553937998,rbf,"{'svc__C': 2.9763497610796623, 'svc__class_weight': None, 'svc__degree': 4.23605749280134, 'svc__gamma': 2.775619553937998, 'svc__kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,94
6,2.3752193450927734,0.05190767846196779,0.35268863042195636,0.034885216881350586,3.2245506599911438,,5.016063986215742,0.10471361297381396,poly,"{'svc__C': 3.2245506599911438, 'svc__class_weight': None, 'svc__degree': 5.016063986215742, 'svc__gamma': 0.10471361297381396, 'svc__kernel': 'poly'}",0.7029899135446686,0.8121397694524496,0.8286203170028819,0.8596902017291066,0.8100367840252233,0.8048229768786127,0.8030499937721571,0.048319349077631114,17
7,0.9137854973475138,0.07092367181843338,0.10582701365152995,0.010642808580183861,29.1609184824364,balanced,6.780188357775302,0.0021509649436377127,sigmoid,"{'svc__C': 29.1609184824364, 'svc__class_weight': 'balanced', 'svc__degree': 6.780188357775302, 'svc__gamma': 0.0021509649436377127, 'svc__kernel': 'sigmoid'}",0.7327989913544668,0.7842219020172911,0.7593659942363113,0.7455871757925072,0.8001401296198984,0.7355491329479769,0.7596105543280753,0.024976294666222275,50
8,1.8403410911560059,0.07207606689914187,0.21551084518432617,0.012893767762585998,0.35938961478302767,,2.904850285379475,0.5930936699963564,poly,"{'svc__C': 0.35938961478302767, 'svc__class_weight': None, 'svc__degree': 2.904850285379475, 'svc__gamma': 0.5930936699963564, 'svc__kernel': 'poly'}",0.7173991354466859,0.7243335734870318,0.7487391930835734,0.7540525936599423,0.7332282361184096,0.7050216763005781,0.7304624013493702,0.017095955025158666,60
9,1.1574285825093586,0.07286512271253973,0.17728916803995767,0.02456691460818233,0.13402263657430524,balanced,5.9579002673064085,3.032981136632947,sigmoid,"{'svc__C': 0.13402263657430524, 'svc__class_weight': 'balanced', 'svc__degree': 5.9579002673064085, 'svc__gamma': 3.032981136632947, 'svc__kernel': 'sigmoid'}",0.5899675792507205,0.7576548991354467,0.593299711815562,0.5887968299711815,0.6664039236293572,0.6357478323699421,0.638645129362035,0.060350136730057825,81
10,0.9060092369715372,0.019254038741792576,0.20928374926249185,0.007694474221052531,12.76062107635894,,6.2890272442693576,0.001106630470551474,rbf,"{'svc__C': 12.76062107635894, 'svc__class_weight': None, 'svc__degree': 6.2890272442693576, 'svc__gamma': 0.001106630470551474, 'svc__kernel': 'rbf'}",0.7349603746397695,0.7790886167146974,0.7927773775216138,0.7911563400576369,0.8391136801541426,0.7626445086705201,0.7832901496263968,0.031748526278562846,38
