,Diag: Enuresis,Diag: Oppositional Defiant Disorder,Diag: Generalized Anxiety Disorder,Diag: Autism Spectrum Disorder,Diag: No Diagnosis Given,Diag: ADHD-Combined Type,Diag: Social Anxiety (Social Phobia)
59,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8102,0.766","0.7398,0.7963","0.6999,0.7925"
58,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8261","0.8908,0.8164","0.8102,0.766","0.7398,0.7963","0.6999,0.7925"
57,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8313","0.8908,0.8164","0.8102,0.766","0.7398,0.7963","0.6999,0.7925"
56,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8102,0.766","0.7398,0.7963","0.6999,0.7925"
55,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8102,0.766","0.7398,0.7983","0.6999,0.7925"
54,"0.8643,0.8764","0.8877,0.7277","0.7943,0.8313","0.8908,0.8164","0.8102,0.766","0.7398,0.7983","0.6999,0.7925"
53,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8296","0.8908,0.8164","0.8102,0.766","0.7398,0.7983","0.6999,0.7925"
52,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.793,0.7997","0.7398,0.7983","0.6999,0.7925"
51,"0.8473,0.8989","0.8877,0.7277","0.8037,0.8174","0.8908,0.8164","0.8102,0.7836","0.7398,0.7983","0.6999,0.7925"
50,"0.8473,0.8908","0.8877,0.7277","0.785,0.8365","0.8908,0.8164","0.8102,0.7836","0.7398,0.7963","0.6999,0.7925"
49,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8102,0.7836","0.7398,0.7963","0.6999,0.7925"
48,"0.8473,0.8908","0.8877,0.7277","0.8037,0.8191","0.8908,0.8164","0.8102,0.7836","0.7653,0.7695","0.6999,0.7925"
47,"0.8473,0.9053","0.8877,0.7277","0.7943,0.833","0.8908,0.8164","0.8102,0.7836","0.7653,0.7634","0.6999,0.7925"
46,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8313","0.8908,0.8164","0.8102,0.7836","0.7704,0.7613","0.6999,0.7925"
45,"0.8473,0.8908","0.8877,0.7277","0.8037,0.8174","0.8908,0.8164","0.8102,0.7836","0.8622,0.6749","0.6999,0.7925"
