,Diag: Autism Spectrum Disorder,Diag: Enuresis,Diag: Oppositional Defiant Disorder,Diag: ADHD-Combined Type,Diag: Social Anxiety (Social Phobia),Diag: Generalized Anxiety Disorder,Diag: ADHD-Inattentive Type,Diag: No Diagnosis Given,Diag: Language Disorder,Diag: Specific Phobia,Diag: Specific Learning Disorder with Impairment in Mathematics
50,0.8922570196066217,0.8766073261656491,0.8621953501028964,0.852531619494912,0.8525257142857143,0.8523340240758025,0.7941780182869939,0.7845642660327408,0.7576868804766301,0.7353944064207987,0.6662780567797479
49,0.8907386354787972,0.8766073261656491,0.8620592887392214,0.8525367692497837,0.8540571428571428,0.8523340240758025,0.7941780182869939,0.7826597871305851,0.7554134801317005,0.7354067162341817,0.6662652454647946
48,0.8924906171647486,0.8765938192230807,0.861659608483426,0.852531619494912,0.8548114285714286,0.8523419333407153,0.793727063506873,0.7817953428062024,0.7554221904778496,0.7353944064207987,0.6662780567797479
47,0.8932614891065672,0.8766073261656492,0.8609963093355102,0.8524595229267088,0.8532114285714286,0.8523340240758025,0.7937374302834276,0.7816737803230861,0.7548037559012595,0.7353944064207987,0.6662396228348877
46,0.8932537025212963,0.8766073261656491,0.8614385087674542,0.8528715033164421,0.8517371428571429,0.8523340240758025,0.7935663784702784,0.7829839537522286,0.754664390362873,0.7353944064207987,0.6662524341498411
45,0.893580739102674,0.8766073261656492,0.8614385087674542,0.8528715033164421,0.8501714285714285,0.8523261148108896,0.7935456449171695,0.78341617591442,0.7546556800167239,0.7353944064207987,0.6662780567797479
44,0.893502873249965,0.8766073261656491,0.8623654268074901,0.8543700819840975,0.8508,0.8523340240758025,0.7935456449171694,0.7834026689718516,0.7546556800167239,0.7353944064207987,0.6662652454647946
43,0.8934639403236104,0.8766073261656491,0.8615915778015885,0.8543700819840975,0.8496114285714286,0.8523340240758025,0.7933486761626342,0.7839834675022962,0.7545859972475306,0.7353944064207987,0.6662652454647946
42,0.8931914098391293,0.8766073261656491,0.8614215010969948,0.8539941498784659,0.8482285714285714,0.8523340240758025,0.792721486181087,0.7839969744448648,0.7545859972475306,0.7353944064207987,0.6662908680947013
41,0.8933705013003598,0.8766073261656491,0.860979301665051,0.8539890001235942,0.8481371428571428,0.8523261148108896,0.7924519499906699,0.7850235020800691,0.7545947075936799,0.7353944064207987,0.6662524341498411
40,0.8946085683584319,0.8766073261656491,0.8608092249604572,0.8542722366415358,0.8490628571428571,0.8523261148108896,0.7924623167672242,0.7871846128910259,0.7539588523247913,0.7353820966074154,0.6662780567797479
39,0.8928098671608553,0.8766073261656491,0.860128918142082,0.8549159560004944,0.8509485714285715,0.8523340240758025,0.7935560116937239,0.7863066616240748,0.7539065902478964,0.7353944064207987,0.6662524341498411
38,0.8926697086259792,0.8766073261656491,0.8597037263805977,0.8549983520784411,0.8525028571428571,0.8523340240758025,0.7935560116937239,0.7873737100869846,0.7552654042471648,0.7353944064207987,0.6662780567797479
37,0.892467257408936,0.8766073261656491,0.8592360154429648,0.8555287768302229,0.8526857142857144,0.8523340240758025,0.7935197279757833,0.785806904749041,0.7543769489399509,0.7353944064207987,0.6662524341498411
36,0.890980019622195,0.8766073261656491,0.859695222545368,0.8554566802620196,0.8508571428571429,0.8523340240758025,0.7935249113640603,0.7867253768436976,0.7546992317474694,0.7353944064207987,0.6662652454647946
35,0.8908165013315061,0.8765938192230807,0.8601034066363931,0.855451530507148,0.8490285714285714,0.8523340240758025,0.7932553751736436,0.7864687449348965,0.7547079420936188,0.7353944064207987,0.6662780567797479
34,0.8902169342656471,0.8766073261656491,0.8604010408694321,0.854998352078441,0.8499428571428571,0.8523340240758025,0.7932450083970891,0.7861850991409585,0.7541156385554761,0.7353944064207987,0.6662524341498411
33,0.890520611091212,0.8766073261656491,0.8594230998180179,0.8548799077163927,0.8516685714285716,0.8523340240758025,0.7943646202649747,0.785469231184829,0.7536801212480184,0.7353944064207987,0.6662652454647946
32,0.8894616354943703,0.8766073261656492,0.8595166420055445,0.8542361883574343,0.852,0.8523340240758025,0.792975472206672,0.7826597871305853,0.7536801212480184,0.7353944064207987,0.6662524341498411
31,0.8891813184246182,0.8766073261656491,0.8597717570624352,0.8539220533102625,0.8505942857142856,0.8523261148108896,0.792975472206672,0.782430169106921,0.7536801212480184,0.7353944064207987,0.6662652454647946
30,0.8903337330447106,0.8766073261656491,0.8592615269486539,0.8535821694887324,0.8513142857142857,0.8520888368635019,0.792975472206672,0.7860095088875683,0.7519728934027838,0.7353820966074154,0.6662652454647946
29,0.890746422064068,0.8766073261656491,0.8596612072044493,0.8539066040456474,0.8518171428571428,0.8520888368635019,0.7924104828844518,0.7886838835161274,0.751981603748933,0.7353944064207987,0.6662524341498411
28,0.8906919159671717,0.8766073261656491,0.8593125499600319,0.8542722366415358,0.8516457142857142,0.852080927598589,0.7923068151189069,0.7813496137014425,0.751981603748933,0.7353944064207987,0.6662780567797479
27,0.8901780013392927,0.8766073261656491,0.8580199670051193,0.8539787006138507,0.8509714285714285,0.8520255627441986,0.7898861727934315,0.7812550651034631,0.7510060449802275,0.7353944064207987,0.6662780567797478
26,0.8882702879479234,0.8766073261656491,0.857237614163988,0.8539529518394925,0.8512914285714287,0.8520334720091114,0.7891915987642802,0.7733940245286076,0.750195982788356,0.7353944064207987,0.6662780567797479
25,0.8866351050410354,0.8766073261656491,0.856225657771655,0.8534791743912991,0.849622857142857,0.8520334720091114,0.7879527689660177,0.7740288508293263,0.7489939550197725,0.7353944064207987,0.6662652454647946
