,Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Specific Learning Disorder with Impairment in Reading
1,0.6752079215439284,0.6012060219229709
2,0.6861481637821865,0.6104921178417134
3,0.7044054040170544,0.6144079189263719
4,0.7034610745944642,0.628717167248828
5,0.7105300497385766,0.6354309334497656
6,0.7167378908788786,0.648529420213255
7,0.7233469126124255,0.6542379527070502
8,0.7279045363279217,0.6637598814229249
9,0.7280312613765548,0.6634632951098446
10,0.7268635885478435,0.6674753251677543
11,0.7262424705354211,0.6663767349940252
12,0.7252889393644986,0.6746492669362992
13,0.7247102677664096,0.669614050004596
14,0.7259608568346432,0.6699667938229616
15,0.7251396007959958,0.666293432300763
16,0.7251396007959958,0.6702353731960657
17,0.7251154462066239,0.6663919592793456
18,0.7250924418357934,0.6743835600698593
19,0.7250924418357934,0.6722498621196802
20,0.7270033456842236,0.6740687333394614
21,0.7269791910948518,0.6752812184024268
22,0.7269791910948518,0.6768131262064528
23,0.7269791910948518,0.6703723917639488
24,0.7245274835228404,0.6785389282103134
25,0.7243896806412636,0.6809127677176211
26,0.7243896806412636,0.6811891028587186
27,0.7243896806412636,0.6824415157643167
28,0.7243896806412636,0.6801320204062874
29,0.7243896806412636,0.6853329809725157
30,0.723863059223971,0.6807588013604191
31,0.7238619090054295,0.6841575512455188
32,0.7235406965187463,0.6805163617979594
33,0.7234935375585438,0.6796428325213715
34,0.7235176921479158,0.6729335187057635
35,0.7234935375585438,0.6829410446732236
36,0.7234693829691718,0.6803445858994392
37,0.7234935375585438,0.679494036676165
38,0.7234935375585438,0.6849041157275485
39,0.7234704215160104,0.680276220240831
40,0.7234210737904279,0.6811092471734533
41,0.723396919201056,0.6814723320158104
42,0.7233727646116839,0.686850526243221
43,0.7234199235718864,0.6806168995312069
44,0.723396919201056,0.6898623494806508
45,0.7234440781612583,0.6918705188896039
46,0.7231564118541747,0.6908177451971689
47,0.7232025322675386,0.6927644429635077
48,0.7231553733073361,0.6874445606213807
49,0.7231795278967081,0.681445617703833
50,0.7231795278967081,0.6906732581119588
