,Number of features,ROC AUC,Recall (Sensitivity),TNR (Specificity)
0,1084,0.8349762687112086,0.8635,0.6787
1,24,0.7774735304855788,0.9998,0.0362
2,100,0.7551113545089448,0.9998,0.0563
