,Number of features,ROC AUC,Recall (Sensitivity),TNR (Specificity)
0,1084,0.9307992202729045,0.9256,0.7556
1,11,0.794416597048176,0.7776,0.6541
2,100,0.7968532442216654,0.8146,0.6241
