,Number of features,ROC AUC,Recall (Sensitivity),TNR (Specificity)
0,451,0.8041898535847426,0.6747,0.7769
1,14,0.7792425306607595,0.7831,0.6726
2,100,0.7940596466583825,0.771,0.6827
