,Number of features,ROC AUC,Recall (Sensitivity),TNR (Specificity)
0,1084,0.9518518518518518,0.9993,0.7975
1,7,0.9144620811287478,0.9993,0.4815
2,100,0.9467372134038801,0.8566,0.8864
