,Number of features,ROC AUC,Recall (Sensitivity),TNR (Specificity)
0,550,0.8449942857142857,0.54,0.8857
1,17,0.8457885714285716,0.8199,0.7246
2,100,0.8503428571428571,0.72,0.8217
