,Number of features,ROC AUC,Recall (Sensitivity),TNR (Specificity)
0,1084,0.8917895167895167,0.916,0.8182
1,2,0.7026003276003275,0.4168,0.9729
2,100,0.6091318591318591,0.4168,0.9779
