,Number of features,ROC AUC,Recall (Sensitivity),TNR (Specificity)
0,1084,0.8761517615176151,0.888,0.9049
1,9,0.874390243902439,0.888,0.8219
2,100,0.9059620596205962,0.888,0.8268
