,Number of features,ROC AUC,Recall (Sensitivity),TNR (Specificity)
0,1084,0.8185571490656237,0.9659,0.4573
1,16,0.8272490221642765,0.9659,0.4915
2,100,0.8254382152687239,0.9659,0.4915
