,Number of features,ROC AUC,Recall (Sensitivity),TNR (Specificity)
0,546,0.8598185226383225,0.7993,0.7557
1,15,0.8421857619577308,0.7527,0.75
2,100,0.846341614139167,0.767,0.7543
