,Number of features,ROC AUC,Recall (Sensitivity),TNR (Specificity)
0,1084,0.866412213740458,0.8075,0.7939
1,12,0.8270698766881973,0.6537,0.8499
2,100,0.8676844783715013,0.7306,0.86
