,Number of features,ROC AUC,Recall (Sensitivity),TNR (Specificity)
0,1084,0.9186351706036747,0.8945,0.8268
1,3,0.8273932863655201,0.6841,0.9711
2,100,0.8330225169222267,0.6841,0.9632
