,Number of features,ROC AUC,Recall (Sensitivity),TNR (Specificity)
0,1084,0.8931179262504563,0.9089,0.7309
1,13,0.8744067177802118,0.9089,0.6546
2,100,0.866557137641475,0.8635,0.6667
