,Number of features,ROC AUC,Recall (Sensitivity),TNR (Specificity)
0,1083,0.919277108433735,0.9975,0.6048
1,7,0.8963855421686747,0.5,0.9012
2,100,0.8897590361445783,0.5,0.8843
