,Number of features,ROC AUC,Recall (Sensitivity),TNR (Specificity)
0,1084,0.7966490299823632,0.9993,0.6938
1,9,0.7603174603174603,0.9993,0.6346
2,100,0.7825396825396825,0.928,0.637
