,Number of features,ROC AUC,Recall (Sensitivity),TNR (Specificity)
0,1084,0.8060913705583757,0.6399,0.7563
1,7,0.7781218274111675,0.7998,0.6447
2,100,0.7780203045685279,0.7998,0.6447
