,Number of features,ROC AUC,Recall (Sensitivity),TNR (Specificity)
0,550,0.8773431197304522,0.7922,0.7783
1,10,0.8693468529034911,0.8116,0.7466
2,100,0.8707784298527295,0.8246,0.7479
